DataAcc	SpecAcc	Age	RunID	ZTime	gtype	light	temp	sampleID	header_	ZTime_int	fname_	date	genome	tophatOpt	trimmoOpt	type	bname	sampleCode	mapped_reads	total_reads	runID
181RS19	Ath	unknown	181R	ZT12	Col		27C	S19		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-867-Col-ZT12-27C_S19_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-185e7b3f-9fee-4a8a-a234-17529058b25d_output-folder/star_out/181R-Q-867-Col-ZT12-27C_S19.fastq.gz/read_counts.tsv						181R-Q-867-Col-ZT12-27C_S19	867.0	9949862.0	10867068.0	181R
185RS3	Ath		185R	ZT0	Col	LD	17C	S1		0	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-920-Col-LD-17C-ZT0_S1/stringtieresults/gene_abund.tab										185R
185RS6	Ath		185R	ZT4	Col	LD	17C	S2		4	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-921-Col-LD-17C-ZT4_S2/stringtieresults/gene_abund.tab										185R
185RS2	Ath		185R	ZT5	Col	LD	17C	S3		5	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-922-Col-LD-17C-ZT5_S3/stringtieresults/gene_abund.tab										185R
185RS8	Ath		185R	ZT8	Col	LD	17C	S4		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-923-Col-LD-17C-ZT8_S4/stringtieresults/gene_abund.tab										185R
185RS11	Ath		185R	ZT12	Col	LD	17C	S5		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-924-Col-LD-17C-ZT12_S5/stringtieresults/gene_abund.tab										185R
185RS15	Ath		185R	ZT16	Col	LD	17C	S6		16	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-925-Col-LD-17C-ZT16_S6/stringtieresults/gene_abund.tab										185R
185RS18	Ath		185R	ZT20	Col	LD	17C	S7		20	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-926-Col-LD-17C-ZT20_S7/stringtieresults/gene_abund.tab										185R
185RS21	Ath		185R	ZT0	Col	LD	27C	S8		0	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-927-Col-LD-27C-ZT0_S8/stringtieresults/gene_abund.tab										185R
185RS1	Ath		185R	ZT4	Col	LD	27C	S9		4	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-928-Col-LD-27C-ZT4_S9/stringtieresults/gene_abund.tab										185R
185RS5	Ath		185R	ZT5	Col	LD	27C	S10		5	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-929-Col-LD-27C-ZT5_S10/stringtieresults/gene_abund.tab										185R
185RS9	Ath		185R	ZT8	Col	LD	27C	S11		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-930-Col-LD-27C-ZT8_S11/stringtieresults/gene_abund.tab										185R
185RS12	Ath		185R	ZT12	Col	LD	27C	S12		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-931-Col-LD-27C-ZT12_S12/stringtieresults/gene_abund.tab										185R
185RS14	Ath		185R	ZT16	Col	LD	27C	S13		16	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-932-Col-LD-27C-ZT16_S13/stringtieresults/gene_abund.tab										185R
185RS17	Ath		185R	ZT20	Col	LD	27C	S14		20	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-933-Col-LD-27C-ZT20_S14/stringtieresults/gene_abund.tab										185R
181RS25	Ath	adult	181R	ZT12	ELF3-ox At		27C	S25		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-873-1480-ZT12-27C-adult_S25_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-82d0cb03-0956-4693-874f-b41e8ae462cf_output-folder/star_out/181R-Q-873-1480-ZT12-27C-adult_S25.fastq.gz/read_counts.tsv						181R-Q-873-1480-ZT12-27C-adult_S25	873.0	12061945.0	12911362.0	181R
183RS9	Ath	unknown	183R	ZT8	ELF3-ox At		12C	S9		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-1480-ZT8-12C_S9_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-163fb446-1812-4561-95ae-724ac9fe1131_output-folder/star_out/183RQ-1480-ZT8-12C_S9.fastq.gz/read_counts.tsv						183RQ-1480-ZT8-12C_S9		33838500.0	36081087.0	183R
184RS6	Ath	unknown	184R	ZT12	ELF3-ox At		12C	S6		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-906-1480-ZT12-12C_S6_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-27d567b9-9ce9-4073-aa16-b071d0e5a38c_output-folder/star_out/184R-Q-906-1480-ZT12-12C_S6.fastq.gz/read_counts.tsv						184R-Q-906-1480-ZT12-12C_S6	906.0	13727230.0	14425540.0	184R
177RS1	Ath	unknown	177R	ZT12	ELF3-ox At		22C	S1		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-737-ELF3-ox-1480-ZT12-22C_S1_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1a26aa47-30a4-4dff-a004-3c63db4f1221_output-folder/star_out/177R-737-ELF3-ox-1480-ZT12-22C_S1.fastq.gz/read_counts.tsv						177R-737-ELF3-ox-1480-ZT12-22C_S1	737.0	20035179.0	22361487.0	177R
178RS5	Ath	unknown	178R	ZT8	ELF3-ox At		22C	S5		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-725-ELF3-ox-1480-ZT8-22C_S5_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-9f776e4f-0424-411f-8f71-d8118567b399_output-folder/star_out/178R-725-ELF3-ox-1480-ZT8-22C_S5.fastq.gz/read_counts.tsv						178R-725-ELF3-ox-1480-ZT8-22C_S5	725.0	9344606.0	11269861.0	178R
181RS5	Ath	unknown	181R	ZT8	ELF3-ox At		22C	S5		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-853-1480-ZT8-22C_S5_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-8e3d7803-4878-409d-8a19-e0e126d89f38_output-folder/star_out/181R-Q-853-1480-ZT8-22C_S5.fastq.gz/read_counts.tsv						181R-Q-853-1480-ZT8-22C_S5	853.0	10309762.0	11373578.0	181R
181RS15	Ath	unknown	181R	ZT12	ELF3-ox At		22C	S15		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-863-1480-ZT12-22C_S15_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-09d35372-94b2-455e-9d52-eb6770d6e6d0_output-folder/star_out/181R-Q-863-1480-ZT12-22C_S15.fastq.gz/read_counts.tsv						181R-Q-863-1480-ZT12-22C_S15	863.0	7328480.0	8203984.0	181R
177RS7	Ath	unknown	177R	ZT12	ELF3-ox At		27C	S7		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-743-ELF3-ox-1480-ZT12-27C_S7_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-e9fe4e79-0af3-4773-8f7e-cb0afb0a2bec_output-folder/star_out/177R-743-ELF3-ox-1480-ZT12-27C_S7.fastq.gz/read_counts.tsv						177R-743-ELF3-ox-1480-ZT12-27C_S7	743.0	12088679.0	13361860.0	177R
178RS11	Ath	unknown	178R	ZT8	ELF3-ox At		27C	S11		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-731-ELF3-ox-1480-ZT8-27C_S11_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ea7f7413-0b95-4730-b5bf-97b870796ba3_output-folder/star_out/178R-731-ELF3-ox-1480-ZT8-27C_S11.fastq.gz/read_counts.tsv						178R-731-ELF3-ox-1480-ZT8-27C_S11	731.0	23342511.0	24916947.0	178R
183RS19	Ath	unknown	183R	ZT8	ELF3-ox At		27C	S19		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-1480-ZT8-27C_S19_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-02c0aee4-f57d-484c-9c80-25ea04b7966b_output-folder/star_out/183RQ-1480-ZT8-27C_S19.fastq.gz/read_counts.tsv						183RQ-1480-ZT8-27C_S19		20925154.0	23072784.0	183R
184RS16	Ath	unknown	184R	ZT12	ELF3-ox At		27C	S16		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-917-1480-ZT12-27C_S16_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-4d6974b7-1da6-451a-92e4-7608b8694a3b_output-folder/star_out/184R-Q-917-1480-ZT12-27C_S16.fastq.gz/read_counts.tsv						184R-Q-917-1480-ZT12-27C_S16	917.0	3018636.0	3405603.0	184R
181RS10	Ath	unknown	181R	ZT8	ELF3-ox At		27C	S10		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-858-1480-ZT8-27C_S10_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-7f45ba2f-31de-4ca4-b4c1-ad9f4f565d27_output-folder/star_out/181R-Q-858-1480-ZT8-27C_S10.fastq.gz/read_counts.tsv						181R-Q-858-1480-ZT8-27C_S10	858.0	13082234.0	14375744.0	181R
181RS20	Ath	unknown	181R	ZT12	ELF3-ox At		27C	S20		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-868-1480-ZT12-27C_S20_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-3dd4bc48-3944-45e8-9413-f5be139cd036_output-folder/star_out/181R-Q-868-1480-ZT12-27C_S20.fastq.gz/read_counts.tsv						181R-Q-868-1480-ZT12-27C_S20	868.0	11231253.0	12513787.0	181R
181RS22	Ath	adult	181R	ZT12	ELF3-ox Bd		27C	S22		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-870-4196-ZT12-27C-adult_S22_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-677615ac-d88b-45ab-92f4-29d54b920090_output-folder/star_out/181R-Q-870-4196-ZT12-27C-adult_S22.fastq.gz/read_counts.tsv						181R-Q-870-4196-ZT12-27C-adult_S22	870.0	9992355.0	11033804.0	181R
183RS11	Ath	unknown	183R	ZT8	ELF3-ox Bd		12C	S11		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-4196-ZT8-12C_S11_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-37dbd2fe-6295-4c80-a004-d6f44b3e99fa_output-folder/star_out/183RQ-4196-ZT8-12C_S11.fastq.gz/read_counts.tsv						183RQ-4196-ZT8-12C_S11		27933546.0	29665230.0	183R
184RS8	Ath	unknown	184R	ZT12	ELF3-ox Bd		12C	S8		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-908-4196-ZT12-12C_S8_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1f459037-3c38-496b-91ab-92a907b2a88c_output-folder/star_out/184R-Q-908-4196-ZT12-12C_S8.fastq.gz/read_counts.tsv						184R-Q-908-4196-ZT12-12C_S8	908.0	16479665.0	17365050.0	184R
181RS2	Ath	unknown	181R	ZT8	ELF3-ox Bd		22C	S2		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-850-4196-ZT8-22C_S2_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-dfeeab89-7797-41e4-83fa-07f727dcdf0a_output-folder/star_out/181R-Q-850-4196-ZT8-22C_S2.fastq.gz/read_counts.tsv						181R-Q-850-4196-ZT8-22C_S2	850.0	7803782.0	8248133.0	181R
181RS12	Ath	unknown	181R	ZT12	ELF3-ox Bd		22C	S12		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-860-4196-ZT12-22C_S12_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-90bd85fa-ff02-4e75-a2db-9cd7de9e36d4_output-folder/star_out/181R-Q-860-4196-ZT12-22C_S12.fastq.gz/read_counts.tsv						181R-Q-860-4196-ZT12-22C_S12	860.0	16179179.0	17223579.0	181R
183RS21	Ath	unknown	183R	ZT8	ELF3-ox Bd		27C	S21		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-4196-ZT8-27C_S21_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b8b3c312-b4c7-4f0f-ac7d-ea8ed5dbf134_output-folder/star_out/183RQ-4196-ZT8-27C_S21.fastq.gz/read_counts.tsv						183RQ-4196-ZT8-27C_S21		10636405.0	11987194.0	183R
184RS18	Ath	unknown	184R	ZT12	ELF3-ox Bd		27C	S18		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-919-4196-ZT12-27C_S18_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-32f2a070-3291-4449-8401-f42241745123_output-folder/star_out/184R-Q-919-4196-ZT12-27C_S18.fastq.gz/read_counts.tsv						184R-Q-919-4196-ZT12-27C_S18	919.0	16800245.0	17853946.0	184R
181RS7	Ath	unknown	181R	ZT8	ELF3-ox Bd		27C	S7		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-855-4196-ZT8-27C_S7_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-e0bf180b-ec22-4496-832b-c55bdd61df19_output-folder/star_out/181R-Q-855-4196-ZT8-27C_S7.fastq.gz/read_counts.tsv						181R-Q-855-4196-ZT8-27C_S7	855.0	10621349.0	11577633.0	181R
181RS17	Ath	unknown	181R	ZT12	ELF3-ox Bd		27C	S17		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-865-4196-ZT12-27C_S17_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-bbc468c4-64e0-41cb-9754-05676cad8d61_output-folder/star_out/181R-Q-865-4196-ZT12-27C_S17.fastq.gz/read_counts.tsv						181R-Q-865-4196-ZT12-27C_S17	865.0	13711948.0	14861877.0	181R
181RS21	Ath	adult	181R	ZT12	ELF3-ox potato		27C	S21		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-869-4195-ZT12-27C-adult_S21_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ade3988e-ea83-40ea-a553-0174574ec16e_output-folder/star_out/181R-Q-869-4195-ZT12-27C-adult_S21.fastq.gz/read_counts.tsv						181R-Q-869-4195-ZT12-27C-adult_S21	869.0	1262060.0	1449947.0	181R
183RS10	Ath	unknown	183R	ZT8	ELF3-ox potato		12C	S10		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-4195-ZT8-12C_S10_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-8525d44a-93ba-44f1-a5fd-311061dd6929_output-folder/star_out/183RQ-4195-ZT8-12C_S10.fastq.gz/read_counts.tsv						183RQ-4195-ZT8-12C_S10		25522979.0	28247968.0	183R
184RS7	Ath	unknown	184R	ZT12	ELF3-ox potato		12C	S7		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-907-4195-ZT12-12C_S7_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-9f10f464-cb7a-49de-956a-d206aef2f174_output-folder/star_out/184R-Q-907-4195-ZT12-12C_S7.fastq.gz/read_counts.tsv						184R-Q-907-4195-ZT12-12C_S7	907.0	10723373.0	11295427.0	184R
181RS1	Ath	unknown	181R	ZT8	ELF3-ox potato		22C	S1		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-849-4195-ZT8-22C_S1_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ba346419-9160-44cd-8c8a-d097efcd9ab6_output-folder/star_out/181R-Q-849-4195-ZT8-22C_S1.fastq.gz/read_counts.tsv						181R-Q-849-4195-ZT8-22C_S1	849.0	15326745.0	16288690.0	181R
181RS11	Ath	unknown	181R	ZT12	ELF3-ox potato		22C	S11		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-859-4195-ZT12-22C_S11_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-620b5a82-f542-4f3c-a6ec-18cb044c7d1a_output-folder/star_out/181R-Q-859-4195-ZT12-22C_S11.fastq.gz/read_counts.tsv						181R-Q-859-4195-ZT12-22C_S11	859.0	16385166.0	17651930.0	181R
183RS20	Ath	unknown	183R	ZT8	ELF3-ox potato		27C	S20		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-4195-ZT8-27C_S20_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-544142d8-f065-4e79-afd4-c22feb6f20fc_output-folder/star_out/183RQ-4195-ZT8-27C_S20.fastq.gz/read_counts.tsv						183RQ-4195-ZT8-27C_S20		21499942.0	23456073.0	183R
184RS17	Ath	unknown	184R	ZT12	ELF3-ox potato		27C	S17		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-918-4195-ZT12-27C_S17_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b1766005-1229-4eb2-89e3-49c8225c3582_output-folder/star_out/184R-Q-918-4195-ZT12-27C_S17.fastq.gz/read_counts.tsv						184R-Q-918-4195-ZT12-27C_S17	918.0	2318537.0	2823441.0	184R
181RS6	Ath	unknown	181R	ZT8	ELF3-ox potato		27C	S6		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-854-4195-ZT8-27C_S6_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b65a7531-1e02-47e3-b453-3526d5f6f2b7_output-folder/star_out/181R-Q-854-4195-ZT8-27C_S6.fastq.gz/read_counts.tsv						181R-Q-854-4195-ZT8-27C_S6	854.0	14334980.0	15748677.0	181R
181RS16	Ath	unknown	181R	ZT12	ELF3-ox potato		27C	S16		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-864-4195-ZT12-27C_S16_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-2f588a3f-fb7d-45f4-8e61-01d1fab0cb9f_output-folder/star_out/181R-Q-864-4195-ZT12-27C_S16.fastq.gz/read_counts.tsv						181R-Q-864-4195-ZT12-27C_S16	864.0	14653520.0	16010151.0	181R
178RS3	Ath	unknown	178R	ZT8	ELF4-ox		22C	S3		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-723-ELF4-ox-1462-ZT8-22C_S3_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-bacba17d-d8c7-4564-bc00-18fd8e7981ac_output-folder/star_out/178R-723-ELF4-ox-1462-ZT8-22C_S3.fastq.gz/read_counts.tsv						178R-723-ELF4-ox-1462-ZT8-22C_S3	723.0	14199112.0	15221086.0	178R
178RS15	Ath	unknown	178R	ZT12	ELF4-ox		22C	S15		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-735-ELF4-ox-1462-ZT12-22C_S15_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-eddf2c62-541e-4bdc-8405-0fca9fb6fb34_output-folder/star_out/178R-735-ELF4-ox-1462-ZT12-22C_S15.fastq.gz/read_counts.tsv						178R-735-ELF4-ox-1462-ZT12-22C_S15	735.0	14091210.0	15237802.0	178R
177RS5	Ath	unknown	177R	ZT12	ELF4-ox		27C	S5		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-741-ELF4-ox-1462-ZT12-27C_S5_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-23ed44bc-19f5-4b15-88cb-eac39a8d4338_output-folder/star_out/177R-741-ELF4-ox-1462-ZT12-27C_S5.fastq.gz/read_counts.tsv						177R-741-ELF4-ox-1462-ZT12-27C_S5	741.0	13218392.0	14781332.0	177R
178RS9	Ath	unknown	178R	ZT8	ELF4-ox		27C	S9		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-729-ELF4-ox-1462-ZT8-27C_S9_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1b660d74-413f-40f3-9ca3-bcb678c46354_output-folder/star_out/178R-729-ELF4-ox-1462-ZT8-27C_S9.fastq.gz/read_counts.tsv						178R-729-ELF4-ox-1462-ZT8-27C_S9	729.0	25103395.0	27026267.0	178R
